Model Name,num_leaves,n_estimators,learning_rate,max_depth,min_data_in_leaf,lambda_l1,lambda_l2
LightGBM_SMA,36,105,0.0877445946627545,19,35,2.923576248887147,2.888858351266158
LightGBM_PSO,27,192,0.09,10,40,2.423490625092567,1.7376558443284673
LightGBM_IDE,27,250,0.07302685406404115,14,35,2.3625069448924503,2.424113996756647
LightGBM_BO_TPE,31,233,0.06757371542987423,12,25,2.739850153085514,1.8918077838746783
LightGBM_BO_GP,31,250,0.06943367924214801,18,25,3.0,2.0509620328168165
LightGBM_BO_CMAES,32,202,0.07924589125973344,12,25,2.6119614305429373,2.224184818469144
LightGBM_QIPSO,39.78512158350929,250.0,0.09,11.155313538120572,41.274853219256975,2.9340286860435305,3.0
LightGBM_GA,39,248,0.08810253412979552,19,46,3.1759813063421167,3.6970381305034787
