Model Name,Model Category,Train MSE,Train MAE,Train R2,Test MSE,Test MAE,Test R2,Completion_Time
Hgbrt,Boosting Models,1.658844907069642,0.9282510449815743,0.976764587156245,2.074623241834762,1.026006066010468,0.9705905232920864,3.894275665283203
Polynomial Regression,Regression Models,4.976311121378161,1.4417189675237554,0.9302968934278214,4.546334795368655,1.396210075292258,0.935551995863825,0.9871466159820557
Random Forest,Tree-Based Models,1.5524802877198856,0.9269255395588515,0.9782544345989008,1.8112170973167054,0.9701843336689284,0.9743245202490829,43.676833629608154
